name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Neural Integrator,neural_integrator,,,,"special, no_drop, no_drop_salvage",Special,10000,,,,4,8,12,20,com.fs.starfarer.api.impl.hullmods.NeuralIntegrator,"An augmented version of Neural Interface that works with automated ships by enabling direct control of all of the ship's systems via the link, instead of having the controlling conscousness aspect simply direct the bridge crew.

Links the flagship with another ship, allowing switching between ships without using a shuttle pod. Both ships must have a Neural Interface and not be commanded by an officer or an AI core. The transfer is instant if the combined deployment points of the ships are %s or less.

If the linked ship is destroyed or leaves the battlefield, the flagship will establish a neural link with another ship with a Neural Interface. If the flagship is destroyed or leaves the battlefield, command will have to be physically transferred to another ship with a Neural Interface before a new link can be established.

Both linked ships benefit from your personal combat skills as if you'd transferred command to them, regardless of which one you're controlling personally. As with ""transfer command"", some skill effects - such as those increasing ammo capacity, or other fixed ship stats - do not apply.",Specialized Neural Interface for automated ships.,,graphics/hullmods/neural_integrator.png
Assault Package,assault_package,1,,,"req_spaceport, weapons, engines, civ_package, standard","Special, Engines, Weapons, Logistics, Requires Dock",8000,,,,5,10,15,25,data.hullmods.AssaultPackageAlt,"Weapon fire controls are disabled, increasing rate of fire of all ballistic, energy, and missile weapons by %s. However, the recoil is increased by %s.

All unnecessary thrusters are redirected, increasing top speed and zero flux boost speed by %s. The ship can no longer decelerate.","Increases hull integrity, armor, and flux capacity.",,graphics/hullmods/assault_package.png
Escort Package,escort_package,1,,,"req_spaceport, defensive, engines, civ_package, standard","Special, Defenses, Engines, Logistics, Requires Dock",8000,,,,5,10,15,25,data.hullmods.EscortPackageAlt,"Increases the ship's maneuverability by %s. Increases the range of all point-defense weapons by %s, and increases the damage dealt to fighters and missiles by %s.

These effects are also applied to fighters launched by this ship.","Increases maneuverability, point-defense range, and damage dealt to fighters and missiles.",,graphics/hullmods/escort_package.png
Civilian-grade Hull,civgrade,,,,"no_drop, no_drop_salvage","Special, Logistics, Requires Dock",6000,,,,2,4,6,10,data.hullmods.CivGrade,Increases sensor profile by %s. Reduces sensor strength by %s.,"Increases sensor profile, reduces sensor strength.",Negates the sensor profile and sensor strength penalty.,graphics/hullmods/civilian_grade.png
Heavy Ballistics Integration,hbi,,,,"no_drop, no_drop_salvage",Weapons,8000,,,,5,10,15,25,data.hullmods.HeavyBallisticsIntegrationAlt,Reduces the ordnance point cost of large ballistic weapons by %s.,Reduces ordnance point cost of large ballistic weapons.,"Reduces the ordnance point cost of all ballistic weapons by %s/%s/%s instead, depending on weapon size.

The hull needs to be stripped for the bonus to be applied.",graphics/hullmods/ballistics_integration.png
Flux Shunt,fluxshunt,,,,"no_drop, no_drop_salvage",Special,10000,,,,10,20,30,50,data.hullmods.FluxShunt,Allows the ship to dissipate hard flux at %s of the normal rate while shields are on.,Allows dissipation of hard flux while shields are up.,"Bonus decreased to %s of the normal rate while shields are on instead.

The shunt is diverted to the weapon mounts. Weapons no longer generate flux.",graphics/hullmods/flux_shunt.png
Fourteenth Battlegroup,fourteenth,,,,"no_drop, no_drop_salvage",Special,10000,,,,5,10,15,25,data.hullmods.Fourteenth,"This ship is a survivor of the original 14th Domain Battlegroup which founded the Hegemony. It is a prime specimen of the Domain Navy's ""decisive battle"" doctrine, particularly exhibited by a series of radical structural modifications (performed with pre-Collapse industrial methods) which allow the mounting of heavier armor plating by a flat increase of %s standard units, with only a %s reduction in speed and maneuverability. Exceptionally well-tuned energy systems increase flux throughput and capacity by %s over standard examples of this hull.",,"The heavier armor plating is completely removed. Negates the armor bonus and reduces it by %s. 

Increases speed and maneuverability by %s instead of decreasing it. Flux throughput and capacity remains the same.",graphics/hullmods/fourteenth.png
Automated Ship,automated,,,,"no_drop, no_drop_salvage",Special,10000,,,,5,10,15,25,data.hullmods.AutomatedAlt,"This ship is fully automated, and does not require - and can not take on - any human crew.

Automated ships usually require specialized equipment and expertise to maintain, resulting in a maximum combat readiness penalty of %s. This penalty can be offset by a fleet commander skilled in the use of automated ships.",Does not require and can not support crew.,Maximum combat readiness penalty is reduced to %s.,graphics/hullmods/automated.png
Shield Conversion - Front,frontemitter,2,,,"shields, defensive, merc, standard",Shields,7000,,,,3,5,8,12,data.hullmods.FrontShieldEmitter,"Locks the ship's omni-directional shield emitter to a front-facing position and extends its arc by %s. As with all frontal emitters, the shield will also deploy twice as quickly.","Converts omni shield to front, extends arc.",Extends the shield's arc by %s instead.,graphics/hullmods/front_shield_emitter.png
Defensive Targeting Array,defensive_targeting_array,2,,,"special, merc, standard",Fighters,3000,,,,2,4,6,10,data.hullmods.DefensiveTargetingArrayAlt,"Standard fighter communication links are re-purposed to provide short-range targeting data.

Increases fighter damage to missiles and other fighters by %s, and damage against ships by %s.

Makes the fighters unable to leave the vicinity of their ship.","Increases fighter damage, reduces fighter roam range to zero.","Extends range of ballistic, energy, and missile weapons of the ship's fighters by %s units.",graphics/hullmods/defensive_targeting_array.png
Armored Weapon Mounts,armoredweapons,0,,,"defensive, merc, standard","Weapons, Defenses",2500,TRUE,,,3,6,9,15,data.hullmods.ArmoredWeapons,"Increases the durability of all weapons by %s and reduces recoil by %s, but decreases weapon turn rate by %s. Also increases the ship's armor by %s.","Makes weapons harder to disable, reduces recoil.","Increases the rate of fire of all non-missile weapons by %s.

Decreases flux generated by all non-missile weapons by %s.",graphics/hullmods/armored_weapon_emplacements.png
ECM Package,ecm,2,,,"offensive, special, merc, standard","Weapons, Support, Special",4000,,,,5,8,15,20,data.hullmods.ECMPackageAlt,"When deployed in combat, grants %s/%s/%s/%s ECM rating, depending on this ship's hull size.

Increases system range by %s.",Increases ship's ECM rating. Improves system.,"Increases system regeneration rate by %s.

Decreases system cooldown by %s.",graphics/hullmods/ecm_package.png
Nav Relay,nav_relay,2,,,"engines, special, merc, standard","Engines, Support, Fighters",5000,,,,5,8,15,20,data.hullmods.NavRelayAlt,"When deployed in combat, increases nav rating of your fleet by %s/%s/%s/%s, depending on this ship's hull size.

The total nav rating of your fleet increases the top speed of your deployed ships.

Increases fighter's top speed launched from this ship by %s.",Increases top speed of deployed ships and fighters from this ship.,Increases fighter engagement range by %s.,graphics/hullmods/nav_relay.png
Rugged Construction,rugged,2,,,"no_drop, no_drop_salvage","Special, Defenses, Logistics, Requires Dock",3000,,,,3,6,9,15,data.hullmods.RuggedConstructionAlt,"Reduces most negative effects of d-mods by %s. If disabled or destroyed in combat, the ship has a %s chance to avoid new d-mods, and is almost always recoverable after the battle.

In addition, the supply cost to recover from deployment - and to effect repairs if the ship is disabled - is reduced by %s.",Reduces impact of d-mods; ship almost always recoverable if lost.,"Negative effects of d-mods are only reduced by %s.

Each d-mod increases the armor by %s, and hull integrity by %s.",graphics/hullmods/rugged_construction.png
Advanced Targeting Core,advancedcore,,,,"no_drop, no_drop_salvage",Weapons,,,,,5,10,15,25,data.hullmods.AdvancedTargetingCore,"Extends the range of ballistic and energy weapons by %s. The range of point-defense weapons is only extended by %s.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Greatly extends non-missile weapon range.,"Certain protocols are disabled, similar to safety overrides. This allows the zero-flux engine boost to take effect regardless of flux level.

However, this reduces the range bonus of ballistic and energy weapons to %s. The range of point-defense weapons is unaffected.",graphics/hullmods/advanced_targeting_core.png
Militarized Subsystems,militarized_subsystems,0,,,"req_spaceport, merc, standard","Special, Logistics, Requires Dock",6000,TRUE,,,3,6,9,15,com.fs.starfarer.api.impl.hullmods.MilitarizedSubsystems,"Removes the penalties from a civilian-grade hull, and increases maximum burn level by %s.

Increases minimum crew required by %s.","Removes sensor penalties, increases maximum burn level, increases crew required.",Negates the increased crew requirements.,graphics/hullmods/militarized_subsystems.png
Expanded Deck Crew,expanded_deck_crew,1,,,"special, merc, standard",Fighters,4000,,,,5,10,15,25,data.hullmods.ExpandedDeckCrewAlt,"Reduces the rate at which the fighter replacement rate decreases due to fighter losses by %s, and increases the rate at which it recovers by %s. Time to launch replacement fighters is decreased by %s.

Increases the crew required by %s per fighter bay.","Improves fighter replacement rate, increases crew requirements.",,graphics/hullmods/expanded_deck_crew.png
Recovery Shuttles,recovery_shuttles,1,,,"special, standard",Fighters,4000,,,,3,6,9,15,data.hullmods.RecoveryShuttlesAlt,Reduces the casualties suffered by fighter pilots by %s. Reduces the rate at which the fighter replacement rate decreases due to fighter losses by %s.,Reduces fighter pilot casualties.,Increases the fighter pilot casualty reduction to %s.,graphics/hullmods/recovery_shuttles.png
